claim_index,url,claim,parameter,context,range_id,source_ids,status,action_required
2188,guides/chlorine/chlorine-too-high-after-shocking.html,"Calculator Pool Shock Calculator · Full Chemical Calculator Reference: Pool Chlorine Levels Chart Related Pool Chemistry Guides Related in this topic Shock for 15,000 gal pool Shock for 20,000 gal pool Shock for 25,000 gal pool Shock for 30,000 gal pool Shock for 5,000 gal pool Related topics Can Yo…",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2189,guides/chlorine/chlorine-too-high-after-shocking.html,"These tools are designed to help maintain safe chlorine, pH, and total alkalinity within a healthy water balance.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2190,guides/chlorine/free-chlorine-vs-total-chlorine.html,Free Chlorine vs Total Chlorine Explained Quick Answer Free chlorine (FC) is the active portion that actually sanitizes.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2191,guides/chlorine/free-chlorine-vs-total-chlorine.html,Total chlorine (TC) equals free plus combined chlorine (CC).,combined_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2192,guides/chlorine/free-chlorine-vs-total-chlorine.html,Combined chlorine forms when FC reacts with nitrogen compounds and is ineffective as a sanitizer.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2193,guides/chlorine/free-chlorine-vs-total-chlorine.html,"If TC minus FC exceeds 0.5 ppm, shock to break down the combined chlorine.",free_chlorine,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (0.5-0.5) does not overlap any canonical range for free_chlorine in this context (closest candidates: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
2194,guides/chlorine/free-chlorine-vs-total-chlorine.html,"Free chlorine (FC) is the only portion that actively kills bacteria and algae Combined chlorine (CC) = TC − FC; above 0.5 ppm indicates a chloramine problem The chlorine smell in pools is almost always combined chlorine, not excess free chlorine Breakpoint shock at 10× CC reading destroys chloramine…",free_chlorine,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (0.5-0.5) does not overlap any canonical range for free_chlorine in this context (closest candidates: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
2195,guides/chlorine/free-chlorine-vs-total-chlorine.html,Subtract FC from TC to get combined chlorine (CC).,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2196,guides/chlorine/free-chlorine-vs-total-chlorine.html,"The three forms of chlorine Form What it is Target Free chlorine (FC) Active hypochlorous acid; kills pathogens 1–3 ppm (pools), 3–5 ppm (spas) Combined chlorine (CC) Chloramines from FC reacting with ammonia/nitrogen < 0.5 ppm Total chlorine (TC) FC + CC; total chlorine in the water TC = FC when CC…",free_chlorine,unspecified_env/chlorine,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2197,guides/chlorine/free-chlorine-vs-total-chlorine.html,A strong chlorine odor is actually a warning that combined chlorine is too high — not that there is too much free chlorine.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2198,guides/chlorine/free-chlorine-vs-total-chlorine.html,"When to interpret your readings FC = 2 ppm, TC = 2 ppm — Perfect.",free_chlorine,unspecified_env/unspecified_sanitizer,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2199,guides/chlorine/free-chlorine-vs-total-chlorine.html,"FC = 1 ppm, TC = 2 ppm — CC = 1 ppm.",free_chlorine,unspecified_env/unspecified_sanitizer,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2200,guides/chlorine/free-chlorine-vs-total-chlorine.html,Needs breakpoint shock (10 ppm FC).,free_chlorine,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (10-10) does not overlap any canonical range for free_chlorine in this context (closest candidates: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
2201,guides/chlorine/free-chlorine-vs-total-chlorine.html,"FC = 0, TC = 1 ppm — All chlorine is combined; no free chlorine.",free_chlorine,unspecified_env/chlorine,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2202,guides/chlorine/free-chlorine-vs-total-chlorine.html,How to eliminate combined chlorine Raise FC to at least 10× the CC reading in a single dose.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2203,guides/chlorine/free-chlorine-vs-total-chlorine.html,The shock dose oxidizes chloramines and drives CC to near zero.,combined_chlorine,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2204,guides/chlorine/free-chlorine-vs-total-chlorine.html,Use the shock calculator for your exact pool size.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2205,guides/chlorine/how-often-should-i-shock-my-pool.html,How Often Should I Shock My Pool?,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2206,guides/chlorine/how-often-should-i-shock-my-pool.html,"Quick Answer Shock your pool once a week during swim season, and immediately after heavy rain, large parties, or when free chlorine drops below 1 ppm.",free_chlorine,pool/chlorine,range-fc-pool-chlorine-no-cya,,SUPPORTED,None -- matches a source-backed canonical range.
2207,guides/chlorine/how-often-should-i-shock-my-pool.html,Pools with algae or cloudy water may need two treatments.,algae,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2208,guides/chlorine/how-often-should-i-shock-my-pool.html,Always shock at dusk and keep the pump running overnight.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2209,guides/chlorine/how-often-should-i-shock-my-pool.html,Weekly shocking is standard during peak swim season Shock after any event that dilutes or consumes chlorine Use the pool shock calculator to get the exact dose for your pool size Test FC before and 24 hours after shocking to confirm effectiveness Most residential pools benefit from weekly shocking (…,free_chlorine,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2210,guides/chlorine/how-often-should-i-shock-my-pool.html,"Standard shocking schedule During active swim season (water above 60 °F), a weekly shock keeps chloramines in check, oxidizes organic waste, and protects the residual FC between doses.",free_chlorine,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (60-60) does not overlap any canonical range for free_chlorine in this context (closest candidates: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
2211,guides/chlorine/how-often-should-i-shock-my-pool.html,When to shock immediately After heavy rain — dilutes chemicals and introduces organic debris After large pool parties — heavy bather load consumes FC fast FC below 1 ppm — active chlorine is insufficient for sanitation Green or cloudy water — algae demands a double or triple shock dose Strong chlori…,free_chlorine,pool/chlorine,range-fc-pool-chlorine-no-cya,,SUPPORTED,None -- matches a source-backed canonical range.
2212,guides/chlorine/how-often-should-i-shock-my-pool.html,Adjust pH to 7.2–7.4 before shocking for maximum effectiveness.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2213,guides/chlorine/how-often-should-i-shock-my-pool.html,Add shock at dusk or evening — UV light destroys unstabilized chlorine rapidly.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2214,guides/chlorine/how-often-should-i-shock-my-pool.html,Dissolve granular shock in a bucket of water first; pour around the perimeter.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2215,guides/chlorine/how-often-should-i-shock-my-pool.html,Run the pump for 8 hours minimum after dosing.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2216,guides/chlorine/how-often-should-i-shock-my-pool.html,Wait until FC returns to 1–3 ppm before swimming.,free_chlorine,unspecified_env/unspecified_sanitizer,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2217,guides/chlorine/how-often-should-i-shock-my-pool.html,"Calculator Pool Shock Calculator · Full Chemical Calculator Reference chart See all chlorine target ranges: Pool Chlorine Levels Chart Related Pool Chemistry Guides Related in this topic Chlorine for 5,000 gal pool Chlorine for 7,000 gal pool Chlorine for 8,000 gal pool Chlorine for 9,000 gal pool G…",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2218,guides/chlorine/how-often-should-i-shock-my-pool.html,"These tools are designed to help maintain safe chlorine, pH, and total alkalinity within a healthy water balance.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2219,guides/chlorine/index.html,"Guides Chlorine Guides Hub Chlorine-specific troubleshooting, dosing, and maintenance decision guides.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2220,guides/chlorine/index.html,Featured Content Chlorine Too High After Shocking: What to Do Pool chlorine too high after shocking?,shock_treatment,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2221,guides/chlorine/index.html,Free Chlorine vs Total Chlorine Explained Free chlorine is the active sanitizer; total chlorine = free + combined.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2222,guides/chlorine/index.html,"How to interpret readings, combined chlorine limits, and when to shock.",combined_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2223,guides/chlorine/index.html,How Often Should I Shock My Pool?,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2224,guides/chlorine/index.html,"How often to shock a pool: weekly in swim season, after heavy use, after rain, or when FC drops.",free_chlorine,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2225,guides/chlorine/index.html,"Why Pool Chlorine Disappears Overnight Chlorine disappearing overnight usually means algae, high organic load, or chlorine demand.",chlorine_demand,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2226,guides/chlorine/index.html,"Common causes: low CYA, algae, high phosphates, or high organic load.",cyanuric_acid,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2227,guides/chlorine/index.html,Category Cards Chlorine Too High After Shocking: What to Do Browse chlorine too high after shocking content.,shock_treatment,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2228,guides/chlorine/index.html,Free Chlorine vs Total Chlorine Explained Browse free chlorine vs total chlorine content.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2229,guides/chlorine/index.html,How Often Should I Shock My Pool?,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2230,guides/chlorine/index.html,Browse how often should i shock my pool content.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2231,guides/chlorine/index.html,Popular Calculators Calculators Hub Pool Chemical Calculator (Exact Levels in 30 Seconds) Hot Tub Chemical Calculator (Safe Levels in 30 Seconds) Hot Tub pH Calculator Hot Tub Shock Calculator Pool Alkalinity Calculator Pool Chlorine Calculator (Ounces from Volume + ppm) Pool Cyanuric Acid Calculato…,ph,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (10-30) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
2232,guides/chlorine/why-pool-chlorine-disappears-overnight.html,"Why Pool Chlorine Disappears Overnight Quick Answer If free chlorine drops to near-zero overnight, the pool has chlorine demand — usually caused by algae growth, high phosphates, dead organic matter, or insufficient cyanuric acid (CYA) allowing chlorine to gas off during the day.",free_chlorine,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2233,guides/chlorine/why-pool-chlorine-disappears-overnight.html,"Solve it by shocking to breakpoint, clearing organic matter, and confirming CYA is 30–50 ppm.",cyanuric_acid,unspecified_env/unspecified_sanitizer,range-cya-residential-routine-outdoor,,REQUIRES_REVIEW,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2234,guides/chlorine/why-pool-chlorine-disappears-overnight.html,"Overnight FC loss is almost always a chlorine demand issue, not a dosing problem Common causes: algae, high phosphates, insufficient CYA, organic debris The fix is a large breakpoint shock dose — not just topping up FC Check CYA levels; below 30 ppm outdoors loses FC rapidly to UV When free chlorine…",free_chlorine,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (30-30) does not overlap any canonical range for free_chlorine in this context (closest candidates: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
2235,guides/chlorine/why-pool-chlorine-disappears-overnight.html,A drop of more than 1 ppm overnight (with no bathers) strongly indicates active consumption.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2236,guides/chlorine/why-pool-chlorine-disappears-overnight.html,A drop of 3+ ppm suggests significant algae growth even if water looks clear.,algae,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2237,guides/chlorine/why-pool-chlorine-disappears-overnight.html,"Causes and fixes Cause Signs Fix Early algae (invisible) FC at zero in AM, slightly green tint Triple-dose shock + brush walls High phosphates FC drops despite regular dosing Phosphate remover, then shock CYA too low (<30 ppm) FC fine in evening, gone by morning Add stabilizer to 30–50 ppm Heavy deb…",free_chlorine,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (30-50) does not overlap any canonical range for free_chlorine in this context (closest candidates: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
2238,guides/chlorine/why-pool-chlorine-disappears-overnight.html,Typically you need to raise FC to 10× the combined chlorine reading.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2239,guides/chlorine/why-pool-chlorine-disappears-overnight.html,Use the shock calculator to determine the dose for your pool volume.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2240,guides/chlorine/why-pool-chlorine-disappears-overnight.html,Preventive steps Test CYA monthly and maintain 30–50 ppm for outdoor pools.,cyanuric_acid,unspecified_env/unspecified_sanitizer,range-cya-residential-routine-outdoor,,REQUIRES_REVIEW,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2241,guides/chlorine/why-pool-chlorine-disappears-overnight.html,Maintain FC at 2–3 ppm (not the bare minimum) during peak season.,free_chlorine,unspecified_env/unspecified_sanitizer,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2242,guides/chlorine/why-pool-chlorine-disappears-overnight.html,"Calculator Pool Shock Calculator · Full Chemical Calculator Reference: Pool Chlorine Levels Chart Related Pool Chemistry Guides Related in this topic How Often To Shock Pool When To Add Chlorine Chlorine for 10,000 gal pool Chlorine for 12,000 gal pool Chlorine for 15,000 gal pool Related topics Doe…",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2243,guides/chlorine/why-pool-chlorine-disappears-overnight.html,"These tools are designed to help maintain safe chlorine, pH, and total alkalinity within a healthy water balance.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2244,guides/chlorine/why-pool-wont-hold-chlorine.html,"Why Pool Won't Hold Chlorine Quick Answer A pool that burns through chlorine is experiencing chlorine demand — the most common causes are insufficient cyanuric acid (CYA below 30 ppm), algae growth, high phosphate levels, or a heavy organic load from debris or bathers.",cyanuric_acid,pool/chlorine,range-cya-residential-routine-outdoor,,REQUIRES_REVIEW,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2245,guides/chlorine/why-pool-wont-hold-chlorine.html,CYA below 30 ppm causes FC to break down in direct sunlight within hours Algae — even invisible — can consume an entire FC dose overnight High phosphates feed algae and accelerate chlorine depletion Brushing walls and vacuuming before shocking dramatically improves results When chlorine disappears f…,free_chlorine,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (30-30) does not overlap any canonical range for free_chlorine in this context (closest candidates: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
2246,guides/chlorine/why-pool-wont-hold-chlorine.html,"Start with a diagnostic test of CYA, phosphates, and combined chlorine levels before dosing.",combined_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2247,guides/chlorine/why-pool-wont-hold-chlorine.html,Diagnostic checklist What to test Target If out of range Cyanuric acid (CYA) 30–50 ppm outdoor Add stabilizer; FC will last much longer Phosphates < 200 ppb Use phosphate remover before shocking Combined chlorine (CC) < 0.5 ppm Breakpoint shock to 10× CC reading pH 7.2–7.6 High pH destroys chlorine …,ph,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (30-50) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
2248,guides/chlorine/why-pool-wont-hold-chlorine.html,Cyanuric acid (CYA) shields chlorine from UV degradation.,cyanuric_acid,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2249,guides/chlorine/why-pool-wont-hold-chlorine.html,Keep CYA at 30–50 ppm for pools using traditional chlorine.,cyanuric_acid,unspecified_env/chlorine,range-cya-residential-routine-outdoor,,REQUIRES_REVIEW,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
2250,guides/chlorine/why-pool-wont-hold-chlorine.html,Salt water pools can run slightly higher (60–80 ppm).,salt,unspecified_env/saltwater_chlorine_generator,,,REQUIRES_REVIEW,"Numeric value (60-80) does not overlap any canonical range for salt in this context (closest candidates: range-salt-generic-operating, range-salt-pentair, range-salt-autopilot) -- flag for the consistency matrix as a possible contradiction candidate."
2251,guides/chlorine/why-pool-wont-hold-chlorine.html,Algae demand — the silent consumer Early-stage algae may be invisible but can consume enormous amounts of chlorine.,chlorine_demand,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2252,guides/chlorine/why-pool-wont-hold-chlorine.html,"If FC at dawn is zero after a full evening dose, suspect algae.",free_chlorine,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2253,guides/chlorine/why-pool-wont-hold-chlorine.html,"Brush every wall surface, vacuum the floor, and perform a triple-dose shock.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2254,guides/chlorine/why-pool-wont-hold-chlorine.html,"Calculator Pool Shock Calculator · Full Chemical Calculator Reference: Pool Chlorine Levels Chart Related Pool Chemistry Guides Related in this topic Chlorine for 10,000 gal pool Chlorine for 12,000 gal pool Chlorine for 15,000 gal pool Chlorine for 18,000 gal pool Chlorine for 20,000 gal pool Relat…",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2255,guides/chlorine/why-pool-wont-hold-chlorine.html,"These tools are designed to help maintain safe chlorine, pH, and total alkalinity within a healthy water balance.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2256,guides/edge-cases/high-cya-chlorine-lock.html,"High CYA and “Chlorine Lock” When CYA is very high, a “normal” free chlorine reading includes more bound, slower-acting chlorine—so algae and cloudy water can persist until you dilute CYA and raise FC to an appropriate level for that stabilizer.",free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2257,guides/edge-cases/high-cya-chlorine-lock.html,Why it happens CYA protects chlorine from sunlight but ties up a fraction of FC in less active forms.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2258,guides/edge-cases/high-cya-chlorine-lock.html,Trichlor-fed pools often accumulate CYA year over year.,cyanuric_acid,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2259,guides/edge-cases/high-cya-chlorine-lock.html,See CYA stabilizer explained .,cyanuric_acid,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2260,guides/edge-cases/high-cya-chlorine-lock.html,"What to do Test CYA; if very high, plan partial drain/refill where allowed.",cyanuric_acid,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2261,guides/edge-cases/high-cya-chlorine-lock.html,Follow modern FC/CYA guidance for outdoor pools—don’t rely on a single ppm number without context.,free_chlorine,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2262,guides/edge-cases/high-cya-chlorine-lock.html,"Brush, filter, and address algae protocol if present—sanitizer alone may not clear established blooms quickly.",sanitizer,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2263,guides/edge-cases/high-cya-chlorine-lock.html,"Safe ranges / timing Work within label limits; after major drain, rebalance alkalinity and pH before fine-tuning FC.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2264,guides/edge-cases/high-cya-chlorine-lock.html,Calculator CYA Calculator · Chlorine Calculator Related Pool Chemistry Guides Related in this topic Salt Water Pool Vs Chlorine Pool Saltwater Pool Vs Chlorine Chlorine Breakdown Sunlight Chlorine Vs Saltwater Cya Stabilizer Explained Related topics Hot tub pH calculator Pool alkalinity calculator T…,ph,unspecified_env/saltwater_chlorine_generator,,,REQUIRES_REVIEW,No canonical range exists yet for ph in context unspecified_env/saltwater_chlorine_generator; needs dedicated research in a future phase.
2265,guides/edge-cases/high-cya-chlorine-lock.html,"These tools are designed to help maintain safe chlorine, pH, and total alkalinity within a healthy water balance.",ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2266,guides/edge-cases/index.html,Featured Content High CYA Chlorine Lock (Why FC Reads Fine But Water Fails) Why chlorine stops working when CYA is high: less active sanitizer per ppm reading—fix with dilution and FC targets.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2267,guides/edge-cases/index.html,Over-Shocking a Pool: Effects &amp; What to Do What happens if you over-shock a pool?,shock_treatment,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2268,guides/edge-cases/index.html,"Pool Temperature Effect on Chlorine (Warmer Water, Faster Demand) Warmer water increases chlorine consumption—here’s why and how to adjust dosing.",water_temperature,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2269,guides/edge-cases/index.html,Does Rain Affect Pool Chemistry?,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
2270,guides/edge-cases/index.html,"(Dilution, pH &amp; Chlorine) Does rain affect pool chemistry?",ph,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2271,guides/edge-cases/index.html,"Yes—dilution, debris, and pH shift can change FC, alkalinity, and clarity.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2272,guides/edge-cases/index.html,How Long After Shocking a Pool Can You Swim?,shock_treatment,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2273,guides/edge-cases/index.html,(Safe Wait Times) How long after shocking a pool can you swim?,shock_treatment,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2274,guides/edge-cases/index.html,Category Cards High CYA Chlorine Lock (Why FC Reads Fine But Water Fails) Browse high cya chlorine lock content.,free_chlorine,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2275,guides/edge-cases/index.html,Over-Shocking a Pool: Effects &amp; What to Do Browse over shocking pool effects content.,shock_treatment,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2276,guides/edge-cases/index.html,"Pool Temperature Effect on Chlorine (Warmer Water, Faster Demand) Browse pool temperature effect chlorine content.",water_temperature,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
2277,guides/edge-cases/index.html,Does Rain Affect Pool Chemistry?,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
